levenshtein_distance;lie_index;lie_add;lmi_index;lmi_add
1;0;bulevardul aviatorilor 65;112;bulevardul aviatorilor 5
1;1;strada baniei 5;171;strada baniei 3
1;2;strada baratiei 35;179;strada baratiei 33
9;3;strada barbu mumuleanu 11;149;strada barasch iuliu 11
1;4;strada blanari 21;159;strada blanari 2
5;5;strada busolei 10;172;strada baniei 11
7;6;strada c a rosetti 25;515;strada coltei 25
7;7;strada c a rosetti 44;522;strada coltei 44
1;8;bulevardul carol i 17;382;bulevardul carol i 27
1;9;strada covaci 1;563;strada covaci 
1;10;strada covaci 6;563;strada covaci 
1;11;strada covaci 19;564;strada covaci 16
9;12;strada d i mendeleev 2;1243;strada mendeleev d i 29
2;13;calea floreasca 112;790;calea floreasca 159
1;14;strada franceza 22;825;strada franceza 12
3;15;strada franceza 38-42;822;strada franceza 2-4
1;16;strada franceza 54;827;strada franceza 14
1;17;strada franceza 60;831;strada franceza 20
2;18;strada gabroveni 55;527;strada gabroveni 
8;19;strada gheorghe manea 15;322;strada burghelea 15
13;20;bulevardul gheorghe marinescu 3;249;bulevardul botev hristo 3
5;21;strada ghiocei 25;515;strada coltei 25
10;22;strada grigore alexandrescu 78;1650;strada romano alexandru 8
1;23;calea grivitei 143;894;calea grivitei 13
4;24;strada halelor 5;951;strada halmeu 5
4;25;strada halelor 7;952;strada halmeu 7
6;26;strada halelor 13-15;953;strada halmeu 11-13
4;27;strada halelor 17;954;strada halmeu 17
9;28;bulevardul i c bratianu 5;1;bulevardul bratianu i c 1
13;29;strada ienachita vacarescu 36;721;strada elias jacques 3
9;30;strada ion brezoianu 44;294;strada brezoianu ion 1
9;31;strada ion florescu 13;796;strada florescu ion 1
10;32;bulevardul ion mihalache 68;1253;bulevardul mihalache ion 10
9;33;bulevardul ion mihalache 181;1253;bulevardul mihalache ion 10
7;34;strada ion neculce 74;1010;strada iorga nicolae 7
10;35;strada iuliu barasch 12;714;strada dumbrava rosie 12
11;36;bulevardul lascar catargiu 15a;552;bulevardul cosbuc george 15a
11;37;bulevardul lascar catargiu 48;1833;bulevardul sincai gheorghe 4
4;38;strada lipova 24;1072;strada lipscani 24
1;39;strada lipscani 79;1050;strada lipscani 77
1;40;strada lipscani 46;0;strada lipscani 16
1;41;strada lipscani 38;3;strada lipscani 32
8;42;strada louis pasteur 30;1103;strada lister 32
9;43;strada maria rosetti 55;151;strada barierei 39
9;44;strada maria rosetti 8a;151;strada barierei 39
9;45;strada mihai eminescu 17;954;strada halmeu 17
9;46;strada mihai eminescu 37;1248;strada mihai voda 7
13;47;bulevardul nicolae balcescu 25;264;bulevardul botev hristo 25
9;48;strada nicolae iorga 31;500;strada coltei 1
4;49;strada occidentului 53-55;1352;strada occidentului 8-10
2;50;strada paleologu 3;1337;strada paleologu 12
8;51;strada petre cretu 68;185;strada berechet 10a
1;52;strada plantelor 45;1446;strada plantelor 4
1;53;strada plantelor 20;1448;strada plantelor 40
6;54;strada plugarilor 46;1412;strada paris 46
3;55;strada polona 24-26;1499;strada polona 22
5;56;strada principatele unite 38-40;1538;strada principatele unite 63
6;57;strada profesorilor 10;653;strada docentilor 10
0;58;bulevardul regina maria 36-38;1177;bulevardul regina maria 36-38
0;59;bulevardul regina elisabeta 21;611;bulevardul regina elisabeta 21
0;60;bulevardul regina elisabeta 47;737;bulevardul regina elisabeta 47
5;61;intrarea roma 3;1342;intrarea noptii 3
0;62;piata romana 5;1646;piata romana 5
5;63;strada salcamilor 12;1769;strada sfintilor 12
1;64;strada sapientei 3;1712;strada sapientei 4
6;65;strada sepcari 12-14;236;strada blanari 10-12
4;66;strada sepcari 16;0;strada lipscani 16
