similarity;a_score;lie_index;lie_add;lmi_index;lmi_add
{"matched":[0,1,2],"matchScore":[1,1,0.2916666666666667],"exact":2,"score":2.2916666666666665,"order":1,"size":0.3333333333333333};110.29166666666667;0;bulevardul aviatorilor 65;125;bulevardul aviatorilor 51-53
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;1;strada baniei 5;171;strada baniei 3
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;2;strada baratiei 35;179;strada baratiei 33
{"matched":[0,2,3,-1],"matchScore":[1,1,0.3074074074074074,0],"exact":2,"score":2.3074074074074074,"order":0.8222222222222222,"size":0.2};1103.0740740740741;3;strada barbu mumuleanu 11;620;strada delavrancea barbu stefanescu 57
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;4;strada blanari 21;159;strada blanari 2
{"matched":[0,1,3],"matchScore":[1,0.36071428571428565,1],"exact":2,"score":2.3607142857142858,"order":0.7777777777777777,"size":0.25};104.60714285714286;5;strada busolei 10;210;strada biserica amzei 10
{"matched":[0,2,3,1,4],"matchScore":[1,1,1,1,0.35],"exact":4,"score":4.35,"order":0.6800000000000002,"size":0.2};11110.35;6;strada c a rosetti 25;1691;strada rosetti c a 26
{"matched":[0,2,3,1,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":0.6000000000000001,"size":0.2};11110;7;strada c a rosetti 44;679;strada rosetti c a 3
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":1,"size":0.25};1110.3333333333333;8;bulevardul carol i 17;382;bulevardul carol i 27
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;9;strada covaci 1;564;strada covaci 16
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;10;strada covaci 6;563;strada covaci 
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;11;strada covaci 19;564;strada covaci 16
{"matched":[0,2,3,1,4],"matchScore":[1,1,1,1,0.42500000000000004],"exact":4,"score":4.425,"order":0.6800000000000002,"size":0.2};11110.425;12;strada d i mendeleev 2;1243;strada mendeleev d i 29
{"matched":[0,1,2],"matchScore":[1,1,0.29999999999999993],"exact":2,"score":2.3,"order":1,"size":0.3333333333333333};110.3;13;calea floreasca 112;790;calea floreasca 159
